ID,Job URL,Job Title,Category,Company,Location,Salary Any,Salary B2B,Salary Internship,Salary Mandate,Salary Permanent,Work Type,Experience,Employment Type,Operating Mode,Tech Stack
41,https://justjoin.it/job-offer/emagine-polska-data-engineer-warszawa-data-cddabd04,Data Engineer,Data,emagine Polska,Warszawa,N/A,160 - 175 PLN/h,N/A,N/A,N/A,Full-time,Mid,B2B,Hybrid,Data: Advanced; Data Warehousing: Regular; CI/CD: Regular; Agile: Regular
42,https://justjoin.it/job-offer/vaillant-group-business-services-celonis-process-mining-specialist-maternity-cover--katowice-data,Celonis Process Mining Specialist (Maternity Cover),Data,Vaillant Group Business Services,Katowice,N/A,N/A,N/A,15 000 - 20 000 PLN/month,N/A,Full-time,Mid,Mandate,Hybrid,English: N/A; SQL: Advanced; Celonis: Advanced; process mining: Regular; data mining: Regular; Python: Regular; Matlab: Regular; R: Regular; Big Data: Regular
43,https://justjoin.it/job-offer/respect-energy-holding-s-a--data-governance-analyst-warszawa-data,Data Governance Analyst,Data,Respect Energy Holding S.A.,Warszawa,N/A,15 000 - 18 000 PLN/month,N/A,N/A,N/A,Full-time,Mid,B2B,Remote,English: N/A; SQL: Advanced; Business Intelligence: Regular; Business Analysis: Regular; Python: Regular
44,https://justjoin.it/job-offer/datumo-analytics-engineer-warszawa-data,Analytics Engineer,Data,Datumo,Warszawa,N/A,14 000 - 25 000 PLN/month,N/A,N/A,N/A,Full-time,Mid,B2B,Remote,SQL: Advanced; Big Data: Advanced; Cloud: Regular; BigQuery: Regular; Snowflake: Regular; Python: Regular; Looker: Junior; Tableau: Junior; Power BI: Junior; Spark: Junior
45,https://justjoin.it/job-offer/p-p-solutions-analityk-systemowy-warszawa-data,Analityk Systemowy,Data,P&P Solutions,Warszawa,N/A,15 120 - 18 480 PLN/month,N/A,N/A,N/A,Full-time,Mid,B2B,Hybrid,UML: Regular; Confluence: Regular; Jira: Regular; BPMN: Regular; SQL: Regular; Enterprise Architect: Regular
46,https://justjoin.it/job-offer/square-one-data-engineer-snowflake--warszawa-data,Data Engineer (Snowflake),Data,Square One,Warszawa,N/A,140 - 160 PLN/h,N/A,N/A,N/A,Full-time,Mid,B2B,Remote,Snowflake: Regular; DBT: Regular; Python: Regular; ETL tools: Regular; AWS: Regular
47,https://justjoin.it/job-offer/peakdata-data-analyst-wroclaw-data,Data Analyst,Data,PeakData,Wrocław,N/A,6 403 - 12 806 PLN/month,N/A,N/A,N/A,Full-time,Mid,B2B,Hybrid,ETL: Advanced; Analytical Thinking: Advanced; Big Data: Advanced; AWS: Regular; MS Excel: Regular; SQL: Regular; Python: Regular; Data Warehousing: Junior; Business Intelligence: Junior
48,https://justjoin.it/job-offer/primaris-developer-tableau-warszawa-data,Developer Tableau,Data,Primaris,Warszawa,N/A,14 280 - 20 160 PLN/month,N/A,N/A,N/A,Full-time,Mid,B2B,Hybrid,Tableau: Advanced; SQL Server: Advanced; Confluence: Advanced; Jira: Advanced
49,https://justjoin.it/job-offer/cyclad-data-analyst-azure--szczecin-data,Data Analyst (Azure),Data,Cyclad,Szczecin,N/A,N/A,N/A,N/A,13 000 - 17 000 PLN/month,Full-time,Mid,Permanent,Hybrid,Power BI: Advanced; Python: Advanced; SQL: Advanced; Azure: Advanced; Microsoft Fabric: Regular
50,https://justjoin.it/job-offer/itds-data-engineer-cybersecurity-python-sql-etl--krakow-data,"Data Engineer (Cybersecurity, Python, SQL, ETL) 🛡️💸",Data,ITDS,Kraków,N/A,1 200 - 1 520 PLN/day,N/A,N/A,N/A,Full-time,Mid,B2B,Hybrid,English: N/A; Python: Regular; SQL: Regular; ETL: Regular; Azure DevOps: Junior; Git: Junior; Power BI: Nice To Have
51,https://justjoin.it/job-offer/emagine-polska-data-warehouse-tester-gdansk-data,Data Warehouse Tester,Data,emagine Polska,Gdańsk,N/A,18 480 PLN/month,N/A,N/A,N/A,Full-time,Mid,B2B,Hybrid,Snowflake: Regular; SQL: Regular; Data: Regular
52,https://justjoin.it/job-offer/tesco-technology-data-engineer-fulfillment-krakow,Data Engineer,Data,Tesco Technology,Kraków,N/A,20 000 - 30 000 PLN/month,N/A,N/A,18 500 - 26 000 PLN/month,Full-time,Mid,"Permanent, B2B",Hybrid,Spark: Advanced; Scala: Advanced; Hive: Regular; HDFS: Regular; Kafka: Nice To Have
53,https://justjoin.it/job-offer/link-group-power-bi-developer-power-apps,Power BI Developer (Power Apps),Data,Link Group,Warszawa,N/A,25 200 - 26 880 PLN/month,N/A,N/A,N/A,Full-time,Mid,B2B,Remote,Power BI: Nice To Have; Power Apps: Nice To Have; English: Nice To Have; Business Intelligence: Nice To Have
54,https://justjoin.it/job-offer/addepto-data-engineer-databricks--warszawa-data-ee0396a1,Data Engineer (Databricks),Data,Addepto,Warszawa,N/A,15 120 - 21 000 PLN/month,N/A,N/A,N/A,Full-time,Mid,B2B,Remote,Azure: Advanced; Databricks: Advanced; SQL: Advanced; Python: Advanced; Big Data: Advanced; Airflow: Nice To Have; DBT: Nice To Have; Power BI: Nice To Have; Dagster: Nice To Have; Apache Spark: Nice To Have
55,https://justjoin.it/job-offer/emagine-polska-oracle-database-engineer-gdynia-data,Oracle Database Engineer,Data,emagine Polska,Gdynia,N/A,170 PLN/h,N/A,N/A,N/A,Full-time,Mid,B2B,Hybrid,SQL: Advanced; Oracle: Advanced; NoSQL: Advanced; Databases: Regular
56,https://justjoin.it/job-offer/cyclad-data-engineer-azure--szczecin-data,Data Engineer (Azure),Data,Cyclad,Szczecin,N/A,N/A,N/A,N/A,17 000 - 21 000 PLN/month,Full-time,Mid,Permanent,Hybrid,English: N/A; Azure: Regular; SQL: Regular; Python: Junior; C#: Junior
57,https://justjoin.it/job-offer/itds-data-and-financial-engineering-analyst-krakow-data-22dc9c99,Data and Financial Engineering Analyst,Data,ITDS,Kraków,N/A,15 150 - 20 160 PLN/month,N/A,N/A,N/A,Full-time,Mid,B2B,Hybrid,English: N/A; Git: Advanced; Jira: Advanced; SQL: Regular; Python: Regular; VBA: Junior; Microservices: Nice To Have; Pandas: Nice To Have
58,https://justjoin.it/job-offer/billennium-data-analyst-warszawa-data-870d672f,Data Analyst,Data,Billennium,Warszawa,N/A,130 - 150 PLN/h,N/A,N/A,N/A,Full-time,Mid,B2B,Hybrid,Snowflake: Advanced; SQL: Advanced
59,https://justjoin.it/job-offer/n-ix-strong-middle-data-engineer-krakow-data,Strong Middle Data Engineer,Data,N-iX,Kraków,N/A,11 348 - 16 266 PLN/month,N/A,N/A,9 457 - 13 240 PLN/month,Full-time,Mid,"B2B, Permanent",Remote,PySpark: Regular; Azure: Regular; SQL: Regular; big data technologies: Regular; Python: Regular
60,https://justjoin.it/job-offer/appliscale-backend-engineer-data-ai--krakow-data,Backend Engineer (Data & AI),Data,Appliscale,Kraków,N/A,14 000 - 20 000 PLN/month,N/A,N/A,10 000 - 16 000 PLN/month,Full-time,Mid,"B2B, Permanent",Remote,AWS: Regular; Python: Regular; TypeScript: Regular; Machine Learning: Nice To Have; AI: Nice To Have
